process,process description,parameter,value,unit,description,
 , ,XPCRULF_P,-1.00000,NOUNIT,P:C ratio for heterotrophic algae type 18
 , ,XPCRAlg19,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 19
 , ,XPCRAlg20,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 20
 , ,XPCRAlg21,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 21
 , ,XPCRAlg22,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 22
 , ,XPCRAlg23,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 23
 , ,XPCRAlg24,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 24
 , ,XPCRAlg25,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 25
 , ,XPCRAlg26,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 26
 , ,XPCRAlg27,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 27
 , ,XPCRAlg28,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 28
 , ,XPCRAlg29,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 29
 , ,XPCRAlg30,-1.00000,(gP/gC),P:C ratio for heterotrophic algae type 30
 , ,FNCRMDI_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 01
 , ,FNCRMDI_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 02
 , ,FNCRMDI_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 03
 , ,FNCRMFL_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 04
 , ,FNCRMFL_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 05
 , ,FNCRMFL_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 06
 , ,FNCRDIN_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 07
 , ,FNCRDIN_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 08
 , ,FNCRDIN_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 09
 , ,FNCRPHA_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 10
 , ,FNCRPHA_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 11
 , ,FNCRPHA_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 12
 , ,FNCRULS_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 13
 , ,FNCRULS_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 14
 , ,FNCRULS_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 15
 , ,FNCRULF_E,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 16
 , ,FNCRULF_N,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 17
 , ,FNCRULF_P,-1.00000,NOUNIT,N:C ratio for nitrogen fixing algae type 18
 , ,FNCRAlg19,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 19
 , ,FNCRAlg20,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 20
 , ,FNCRAlg21,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 21
 , ,FNCRAlg22,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 22
 , ,FNCRAlg23,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 23
 , ,FNCRAlg24,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 24
 , ,FNCRAlg25,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 25
 , ,FNCRAlg26,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 26
 , ,FNCRAlg27,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 27
 , ,FNCRAlg28,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 28
 , ,FNCRAlg29,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 29
 , ,FNCRAlg30,-1.00000,(gN/gC),N:C ratio for nitrogen fixing algae type 30
 , ,CHLACMDI_E,0.533000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMDI_N,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMDI_P,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMFL_E,0.228000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMFL_N,0.100000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACMFL_P,0.100000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACDIN_E,0.228000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACDIN_N,0.100000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACDIN_P,0.100000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACPHA_E,0.228000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACPHA_N,0.125000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACPHA_P,0.125000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULS_E,0.533000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULS_N,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULS_P,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULF_E,0.533000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULF_N,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,CHLACULF_P,0.150000E-01,NOUNIT,Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg19,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg20,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg21,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg22,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg23,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg24,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg25,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg26,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg27,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg28,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg29,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,ChlaCAlg30,0.300000E-01,(gChla/gC),Chlorophyll-a:C ratio per algae type
 , ,PPMAXMDI_E,0.700000E-01,NOUNIT,maximum production rate algae type 01
 , ,PPMAXMDI_N,0.540000E-01,NOUNIT,maximum production rate algae type 02
 , ,PPMAXMDI_P,0.540000E-01,NOUNIT,maximum production rate algae type 03
 , ,PPMAXMFL_E,0.900000E-01,NOUNIT,maximum production rate algae type 04
 , ,PPMAXMFL_N,0.750000E-01,NOUNIT,maximum production rate algae type 05
 , ,PPMAXMFL_P,0.750000E-01,NOUNIT,maximum production rate algae type 06
 , ,PPMAXDIN_E,0.132000,NOUNIT,maximum production rate algae type 07
 , ,PPMAXDIN_N,0.113000,NOUNIT,maximum production rate algae type 08
 , ,PPMAXDIN_P,0.113000,NOUNIT,maximum production rate algae type 09
 , ,PPMAXPHA_E,0.600000E-01,NOUNIT,maximum production rate algae type 10
 , ,PPMAXPHA_N,0.550000E-01,NOUNIT,maximum production rate algae type 11
 , ,PPMAXPHA_P,0.550000E-01,NOUNIT,maximum production rate algae type 12
 , ,PPMAXULS_E,0.700000E-01,NOUNIT,maximum production rate algae type 13
 , ,PPMAXULS_N,0.540000E-01,NOUNIT,maximum production rate algae type 14
 , ,PPMAXULS_P,0.540000E-01,NOUNIT,maximum production rate algae type 15
 , ,PPMAXULF_E,0.700000E-01,NOUNIT,maximum production rate algae type 16
 , ,PPMAXULF_N,0.540000E-01,NOUNIT,maximum production rate algae type 17
 , ,PPMAXULF_P,0.540000E-01,NOUNIT,maximum production rate algae type 18
 , ,PPMaxAlg19,0.350000,(1/d),maximum production rate algae type 19
 , ,PPMaxAlg20,0.350000,(1/d),maximum production rate algae type 20
 , ,PPMaxAlg21,0.350000,(1/d),maximum production rate algae type 21
 , ,PPMaxAlg22,0.350000,(1/d),maximum production rate algae type 22
 , ,PPMaxAlg23,0.350000,(1/d),maximum production rate algae type 23
 , ,PPMaxAlg24,0.350000,(1/d),maximum production rate algae type 24
 , ,PPMaxAlg25,0.350000,(1/d),maximum production rate algae type 25
 , ,PPMaxAlg26,0.350000,(1/d),maximum production rate algae type 26
 , ,PPMaxAlg27,0.350000,(1/d),maximum production rate algae type 27
 , ,PPMaxAlg28,0.350000,(1/d),maximum production rate algae type 28
 , ,PPMaxAlg29,0.350000,(1/d),maximum production rate algae type 29
 , ,PPMaxAlg30,0.350000,(1/d),maximum production rate algae type 30
 , ,TCPMXMDI_E,-4.50000,NOUNIT,temp. coeff. for growth processes algae type 01
 , ,TCPMXMDI_N,-4.17000,NOUNIT,temp. coeff. for growth processes algae type 02
 , ,TCPMXMDI_P,-4.17000,NOUNIT,temp. coeff. for growth processes algae type 03
 , ,TCPMXMFL_E,-1.00000,NOUNIT,temp. coeff. for growth processes algae type 04
 , ,TCPMXMFL_N,-1.00000,NOUNIT,temp. coeff. for growth processes algae type 05
 , ,TCPMXMFL_P,-1.00000,NOUNIT,temp. coeff. for growth processes algae type 06
 , ,TCPMXDIN_E,5.50000,NOUNIT,temp. coeff. for growth processes algae type 07
 , ,TCPMXDIN_N,4.75000,NOUNIT,temp. coeff. for growth processes algae type 08
 , ,TCPMXDIN_P,4.75000,NOUNIT,temp. coeff. for growth processes algae type 09
 , ,TCPMXPHA_E,-8.00000,NOUNIT,temp. coeff. for growth processes algae type 10
 , ,TCPMXPHA_N,-8.00000,NOUNIT,temp. coeff. for growth processes algae type 11
 , ,TCPMXPHA_P,-8.00000,NOUNIT,temp. coeff. for growth processes algae type 12
 , ,TCPMXULS_E,-4.50000,NOUNIT,temp. coeff. for growth processes algae type 13
 , ,TCPMXULS_N,-4.17000,NOUNIT,temp. coeff. for growth processes algae type 14
 , ,TCPMXULS_P,-4.17000,NOUNIT,temp. coeff. for growth processes algae type 15
 , ,TCPMXULF_E,-4.50000,NOUNIT,temp. coeff. for growth processes algae type 16
 , ,TCPMXULF_N,-4.17000,NOUNIT,temp. coeff. for growth processes algae type 17
 , ,TCPMXULF_P,-4.17000,NOUNIT,temp. coeff. for growth processes algae type 18
 , ,TcPMxAlg19,1.06000,(-),temp. coeff. for growth processes algae type 19
 , ,TcPMxAlg20,1.06000,(-),temp. coeff. for growth processes algae type 20
 , ,TcPMxAlg21,1.06000,(-),temp. coeff. for growth processes algae type 21
 , ,TcPMxAlg22,1.06000,(-),temp. coeff. for growth processes algae type 22
 , ,TcPMxAlg23,1.06000,(-),temp. coeff. for growth processes algae type 23
 , ,TcPMxAlg24,1.06000,(-),temp. coeff. for growth processes algae type 24
 , ,TcPMxAlg25,1.06000,(-),temp. coeff. for growth processes algae type 25
 , ,TcPMxAlg26,1.06000,(-),temp. coeff. for growth processes algae type 26
 , ,TcPMxAlg27,1.06000,(-),temp. coeff. for growth processes algae type 27
 , ,TcPMxAlg28,1.06000,(-),temp. coeff. for growth processes algae type 28
 , ,TcPMxAlg29,1.06000,(-),temp. coeff. for growth processes algae type 29
 , ,TcPMxAlg30,1.06000,(-),temp. coeff. for growth processes algae type 30
 , ,TFPMXMDI_E,0.00000,NOUNIT,temp. dependency PMAX algae type01 (0=lin<>0=exp)
 , ,TFPMXMDI_N,0.00000,NOUNIT,temp. dependency PMAX algae type02 (0=lin<>0=exp)
 , ,TFPMXMDI_P,0.00000,NOUNIT,temp. dependency PMAX algae type03 (0=lin<>0=exp)
 , ,TFPMXMFL_E,0.00000,NOUNIT,temp. dependency PMAX algae type04 (0=lin<>0=exp)
 , ,TFPMXMFL_N,0.00000,NOUNIT,temp. dependency PMAX algae type05 (0=lin<>0=exp)
 , ,TFPMXMFL_P,0.00000,NOUNIT,temp. dependency PMAX algae type06 (0=lin<>0=exp)
 , ,TFPMXDIN_E,0.00000,NOUNIT,temp. dependency PMAX algae type07 (0=lin<>0=exp)
 , ,TFPMXDIN_N,0.00000,NOUNIT,temp. dependency PMAX algae type08 (0=lin<>0=exp)
 , ,TFPMXDIN_P,0.00000,NOUNIT,temp. dependency PMAX algae type09 (0=lin<>0=exp)
 , ,TFPMXPHA_E,0.00000,NOUNIT,temp. dependency PMAX algae type10 (0=lin<>0=exp)
 , ,TFPMXPHA_N,0.00000,NOUNIT,temp. dependency PMAX algae type11 (0=lin<>0=exp)
 , ,TFPMXPHA_P,0.00000,NOUNIT,temp. dependency PMAX algae type12 (0=lin<>0=exp)
 , ,TFPMXULS_E,0.00000,NOUNIT,temp. dependency PMAX algae type13 (0=lin<>0=exp)
 , ,TFPMXULS_N,0.00000,NOUNIT,temp. dependency PMAX algae type14 (0=lin<>0=exp)
 , ,TFPMXULS_P,0.00000,NOUNIT,temp. dependency PMAX algae type15 (0=lin<>0=exp)
 , ,TFPMXULF_E,0.00000,NOUNIT,temp. dependency PMAX algae type16 (0=lin<>0=e
 , ,TFPMXULF_N,0.00000,NOUNIT,temp. dependency PMAX algae type17 (0=lin<>0=e
 , ,TFPMXULF_P,0.00000,NOUNIT,temp. dependency PMAX algae type18 (0=lin<>0=e
 , ,TFPMxAlg19,1.00000,(-),temp. dependency PMAX algae type19 (0=lin<>0=e
 , ,TFPMxAlg20,1.00000,(-),temp. dependency PMAX algae type20 (0=lin<>0=e
 , ,TFPMxAlg21,1.00000,(-),temp. dependency PMAX algae type21 (0=lin<>0=e
 , ,TFPMxAlg22,1.00000,(-),temp. dependency PMAX algae type22 (0=lin<>0=e
 , ,TFPMxAlg23,1.00000,(-),temp. dependency PMAX algae type23 (0=lin<>0=e
 , ,TFPMxAlg24,1.00000,(-),temp. dependency PMAX algae type24 (0=lin<>0=e
 , ,TFPMxAlg25,1.00000,(-),temp. dependency PMAX algae type25 (0=lin<>0=e
 , ,TFPMxAlg26,1.00000,(-),temp. dependency PMAX algae type26 (0=lin<>0=e
 , ,TFPMxAlg27,1.00000,(-),temp. dependency PMAX algae type27 (0=lin<>0=e
 , ,TFPMxAlg28,1.00000,(-),temp. dependency PMAX algae type28 (0=lin<>0=e
 , ,TFPMxAlg29,1.00000,(-),temp. dependency PMAX algae type29 (0=lin<>0=e
 , ,TFPMxAlg30,1.00000,(-),temp. dependency PMAX algae type30 (0=lin<>0=e
 , ,MORT0MDI_E,0.700000E-01,NOUNIT,mortality rate at 0 oC algae type 01
 , ,MORT0MDI_N,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 02
 , ,MORT0MDI_P,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 03
 , ,MORT0MFL_E,0.700000E-01,NOUNIT,mortality rate at 0 oC algae type 04
 , ,MORT0MFL_N,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 05
 , ,MORT0MFL_P,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 06
 , ,MORT0DIN_E,0.700000E-01,NOUNIT,mortality rate at 0 oC algae type 07
 , ,MORT0DIN_N,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 08
 , ,MORT0DIN_P,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 09
 , ,MORT0PHA_E,0.700000E-01,NOUNIT,mortality rate at 0 oC algae type 10
 , ,MORT0PHA_N,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 11
 , ,MORT0PHA_P,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 12
 , ,MORT0ULS_E,0.700000E-01,NOUNIT,mortality rate at 0 oC algae type 13
 , ,MORT0ULS_N,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 14
 , ,MORT0ULS_P,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 15
 , ,MORT0ULF_E,0.700000E-01,NOUNIT,mortality rate at 0 oC algae type 16
 , ,MORT0ULF_N,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 17
 , ,MORT0ULF_P,0.800000E-01,NOUNIT,mortality rate at 0 oC algae type 18
 , ,Mort0Alg19,0.450000E-01,(1/d),mortality rate at 0 oC algae type 19
 , ,Mort0Alg20,0.450000E-01,(1/d),mortality rate at 0 oC algae type 20
 , ,Mort0Alg21,0.450000E-01,(1/d),mortality rate at 0 oC algae type 21
 , ,Mort0Alg22,0.450000E-01,(1/d),mortality rate at 0 oC algae type 22
 , ,Mort0Alg23,0.450000E-01,(1/d),mortality rate at 0 oC algae type 23
 , ,Mort0Alg24,0.450000E-01,(1/d),mortality rate at 0 oC algae type 24
 , ,Mort0Alg25,0.450000E-01,(1/d),mortality rate at 0 oC algae type 25
 , ,Mort0Alg26,0.450000E-01,(1/d),mortality rate at 0 oC algae type 26
 , ,Mort0Alg27,0.450000E-01,(1/d),mortality rate at 0 oC algae type 27
 , ,Mort0Alg28,0.450000E-01,(1/d),mortality rate at 0 oC algae type 28
 , ,Mort0Alg29,0.450000E-01,(1/d),mortality rate at 0 oC algae type 29
 , ,Mort0Alg30,0.450000E-01,(1/d),mortality rate at 0 oC algae type 30
 , ,TCMRTMDI_E,1.07200,NOUNIT,temperature coeff. for mortality algae type 01
 , ,TCMRTMDI_N,1.08500,NOUNIT,temperature coeff. for mortality algae type 02
 , ,TCMRTMDI_P,1.08500,NOUNIT,temperature coeff. for mortality algae type 03
 , ,TCMRTMFL_E,1.07200,NOUNIT,temperature coeff. for mortality algae type 04
 , ,TCMRTMFL_N,1.08500,NOUNIT,temperature coeff. for mortality algae type 05
 , ,TCMRTMFL_P,1.08500,NOUNIT,temperature coeff. for mortality algae type 06
 , ,TCMRTDIN_E,1.07200,NOUNIT,temperature coeff. for mortality algae type 07
 , ,TCMRTDIN_N,1.08500,NOUNIT,temperature coeff. for mortality algae type 08
 , ,TCMRTDIN_P,1.08500,NOUNIT,temperature coeff. for mortality algae type 09
 , ,TCMRTPHA_E,1.07200,NOUNIT,temperature coeff. for mortality algae type 10
 , ,TCMRTPHA_N,1.08500,NOUNIT,temperature coeff. for mortality algae type 11
 , ,TCMRTPHA_P,1.08500,NOUNIT,temperature coeff. for mortality algae type 12
 , ,TCMRTULS_E,1.07200,NOUNIT,temperature coeff. for mortality algae type 13
 , ,TCMRTULS_N,1.08500,NOUNIT,temperature coeff. for mortality algae type 14
 , ,TCMRTULS_P,1.08500,NOUNIT,temperature coeff. for mortality algae type 15
 , ,TCMRTULF_E,1.07200,NOUNIT,temperature coeff. for mortality algae type 16
 , ,TCMRTULF_N,1.08500,NOUNIT,temperature coeff. for mortality algae type 17
 , ,TCMRTULF_P,1.08500,NOUNIT,temperature coeff. for mortality algae type 18
 , ,TcMrtAlg19,1.08500,(-),temperature coeff. for mortality algae type 19
 , ,TcMrtAlg20,1.08500,(-),temperature coeff. for mortality algae type 20
 , ,TcMrtAlg21,1.08500,(-),temperature coeff. for mortality algae type 21
 , ,TcMrtAlg22,1.08500,(-),temperature coeff. for mortality algae type 22
 , ,TcMrtAlg23,1.08500,(-),temperature coeff. for mortality algae type 23
 , ,TcMrtAlg24,1.08500,(-),temperature coeff. for mortality algae type 24
 , ,TcMrtAlg25,1.08500,(-),temperature coeff. for mortality algae type 25
 , ,TcMrtAlg26,1.08500,(-),temperature coeff. for mortality algae type 26
 , ,TcMrtAlg27,1.08500,(-),temperature coeff. for mortality algae type 27
 , ,TcMrtAlg28,1.08500,(-),temperature coeff. for mortality algae type 28
 , ,TcMrtAlg29,1.08500,(-),temperature coeff. for mortality algae type 29
 , ,TcMrtAlg30,1.08500,(-),temperature coeff. for mortality algae type 30
 , ,MRESPMDI_E,0.600000E-01,NOUNIT,maintenance respiration rate algae type 01
 , ,MRESPMDI_N,0.600000E-01,NOUNIT,maintenance respiration rate algae type 02
 , ,MRESPMDI_P,0.600000E-01,NOUNIT,maintenance respiration rate algae type 03
 , ,MRESPMFL_E,0.600000E-01,NOUNIT,maintenance respiration rate algae type 04
 , ,MRESPMFL_N,0.600000E-01,NOUNIT,maintenance respiration rate algae type 05
 , ,MRESPMFL_P,0.600000E-01,NOUNIT,maintenance respiration rate algae type 06
 , ,MRESPDIN_E,0.600000E-01,NOUNIT,maintenance respiration rate algae type 07
 , ,MRESPDIN_N,0.600000E-01,NOUNIT,maintenance respiration rate algae type 08
 , ,MRESPDIN_P,0.600000E-01,NOUNIT,maintenance respiration rate algae type 09
 , ,MRESPPHA_E,0.600000E-01,NOUNIT,maintenance respiration rate algae type 10
 , ,MRESPPHA_N,0.600000E-01,NOUNIT,maintenance respiration rate algae type 11
 , ,MRESPPHA_P,0.600000E-01,NOUNIT,maintenance respiration rate algae type 12
 , ,MRESPULS_E,0.600000E-01,NOUNIT,maintenance respiration rate algae type 13
 , ,MRESPULS_N,0.600000E-01,NOUNIT,maintenance respiration rate algae type 14
 , ,MRESPULS_P,0.600000E-01,NOUNIT,maintenance respiration rate algae type 15
 , ,MRESPULF_E,0.600000E-01,NOUNIT,maintenance respiration rate algae type 16
 , ,MRESPULF_N,0.600000E-01,NOUNIT,maintenance respiration rate algae type 17
 , ,MRESPULF_P,0.600000E-01,NOUNIT,maintenance respiration rate algae type 18
 , ,MRespAlg19,0.310000E-01,(1/d),maintenance respiration rate algae type 19
 , ,MRespAlg20,0.310000E-01,(1/d),maintenance respiration rate algae type 20
 , ,MRespAlg21,0.310000E-01,(1/d),maintenance respiration rate algae type 21
 , ,MRespAlg22,0.310000E-01,(1/d),maintenance respiration rate algae type 22
 , ,MRespAlg23,0.310000E-01,(1/d),maintenance respiration rate algae type 23
 , ,MRespAlg24,0.310000E-01,(1/d),maintenance respiration rate algae type 24
 , ,MRespAlg25,0.310000E-01,(1/d),maintenance respiration rate algae type 25
 , ,MRespAlg26,0.310000E-01,(1/d),maintenance respiration rate algae type 26
 , ,MRespAlg27,0.310000E-01,(1/d),maintenance respiration rate algae type 27
 , ,MRespAlg28,0.310000E-01,(1/d),maintenance respiration rate algae type 28
 , ,MRespAlg29,0.310000E-01,(1/d),maintenance respiration rate algae type 29
 , ,MRespAlg30,0.310000E-01,(1/d),maintenance respiration rate algae type 30
 , ,TCRSPMDI_E,1.06600,NOUNIT,temperature coeff. for respiration algae type 01
 , ,TCRSPMDI_N,1.06600,NOUNIT,temperature coeff. for respiration algae type 02
 , ,TCRSPMDI_P,1.06600,NOUNIT,temperature coeff. for respiration algae type 03
 , ,TCRSPMFL_E,1.06600,NOUNIT,temperature coeff. for respiration algae type 04
 , ,TCRSPMFL_N,1.06600,NOUNIT,temperature coeff. for respiration algae type 05
 , ,TCRSPMFL_P,1.06600,NOUNIT,temperature coeff. for respiration algae type 06
 , ,TCRSPDIN_E,1.06600,NOUNIT,temperature coeff. for respiration algae type 07
 , ,TCRSPDIN_N,1.06600,NOUNIT,temperature coeff. for respiration algae type 08
 , ,TCRSPDIN_P,1.06600,NOUNIT,temperature coeff. for respiration algae type 09
 , ,TCRSPPHA_E,1.06600,NOUNIT,temperature coeff. for respiration algae type 10
 , ,TCRSPPHA_N,1.06600,NOUNIT,temperature coeff. for respiration algae type 11
 , ,TCRSPPHA_P,1.06600,NOUNIT,temperature coeff. for respiration algae type 12
 , ,TCRSPULS_E,1.06600,NOUNIT,temperature coeff. for respiration algae type 13
 , ,TCRSPULS_N,1.06600,NOUNIT,temperature coeff. for respiration algae type 14
 , ,TCRSPULS_P,1.06600,NOUNIT,temperature coeff. for respiration algae type 15
 , ,TCRSPULF_E,1.06600,NOUNIT,temperature coeff. for respiration algae type 1
 , ,TCRSPULF_N,1.06600,NOUNIT,temperature coeff. for respiration algae type 1
 , ,TCRSPULF_P,1.06600,NOUNIT,temperature coeff. for respiration algae type 1
 , ,TcRspAlg19,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg20,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg21,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg22,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg23,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg24,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg25,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg26,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg27,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg28,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg29,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,TcRspAlg30,1.07200,(-),temperature coeff. for respiration algae type 1
 , ,SDMIXMDI_E,1.00000,NOUNIT,distribution in water column algae type 01
 , ,SDMIXMDI_N,1.00000,NOUNIT,distribution in water column algae type 02
 , ,SDMIXMDI_P,1.00000,NOUNIT,distribution in water column algae type 03
 , ,SDMIXMFL_E,1.00000,NOUNIT,distribution in water column algae type 04
 , ,SDMIXMFL_N,1.00000,NOUNIT,distribution in water column algae type 05
 , ,SDMIXMFL_P,1.00000,NOUNIT,distribution in water column algae type 06
 , ,SDMIXDIN_E,1.00000,NOUNIT,distribution in water column algae type 07
 , ,SDMIXDIN_N,1.00000,NOUNIT,distribution in water column algae type 08
 , ,SDMIXDIN_P,1.00000,NOUNIT,distribution in water column algae type 09
 , ,SDMIXPHA_E,1.00000,NOUNIT,distribution in water column algae type 10
 , ,SDMIXPHA_N,1.00000,NOUNIT,distribution in water column algae type 11
 , ,SDMIXPHA_P,1.00000,NOUNIT,distribution in water column algae type 12
 , ,SDMIXULS_E,1.00000,NOUNIT,distribution in water column algae type 13
 , ,SDMIXULS_N,1.00000,NOUNIT,distribution in water column algae type 14
 , ,SDMIXULS_P,1.00000,NOUNIT,distribution in water column algae type 15
 , ,SDMIXULF_E,-1.00000,NOUNIT,distribution in water column algae type 16
 , ,SDMIXULF_N,-1.00000,NOUNIT,distribution in water column algae type 17
 , ,SDMIXULF_P,-1.00000,NOUNIT,distribution in water column algae type 18
 , ,SDMixAlg19,1.00000,(-),distribution in water column algae type 19
 , ,SDMixAlg20,1.00000,(-),distribution in water column algae type 20
 , ,SDMixAlg21,1.00000,(-),distribution in water column algae type 21
 , ,SDMixAlg22,1.00000,(-),distribution in water column algae type 22
 , ,SDMixAlg23,1.00000,(-),distribution in water column algae type 23
 , ,SDMixAlg24,1.00000,(-),distribution in water column algae type 24
 , ,SDMixAlg25,1.00000,(-),distribution in water column algae type 25
 , ,SDMixAlg26,1.00000,(-),distribution in water column algae type 26
 , ,SDMixAlg27,1.00000,(-),distribution in water column algae type 27
 , ,SDMixAlg28,1.00000,(-),distribution in water column algae type 28
 , ,SDMixAlg29,1.00000,(-),distribution in water column algae type 29
 , ,SDMixAlg30,1.00000,(-),distribution in water column algae type 30
 , ,MrtExMDI_E,0.00000,NOUNIT,coefficient increased mortality rate algae type 01
 , ,MrtExMDI_N,0.00000,NOUNIT,coefficient increased mortality rate algae type 02
 , ,MrtExMDI_P,0.00000,NOUNIT,coefficient increased mortality rate algae type 03
 , ,MrtExMFL_E,0.00000,NOUNIT,coefficient increased mortality rate algae type 04
 , ,MrtExMFL_N,0.00000,NOUNIT,coefficient increased mortality rate algae type 05
 , ,MrtExMFL_P,0.00000,NOUNIT,coefficient increased mortality rate algae type 06
 , ,MrtExDIN_E,0.00000,NOUNIT,coefficient increased mortality rate algae type 07
